Date,Close,High,Low,Open,Volume
2020-01-02,153.0422821,153.1470931,150.8603259,151.2890929,22622100
2020-01-03,151.1366425,152.4038976,150.6030644,150.8508074,21116200
2020-01-06,151.5273132,151.5940178,149.1261972,149.6693129,20813700
2020-01-07,150.1457062,152.1371008,149.8979777,151.8036218,21634100
2020-01-08,152.537262,153.2137719,150.4982236,151.431985,27746500
2020-01-09,154.4429169,154.5667884,153.4329279,154.2047114,21385000
2020-01-10,153.7283325,155.5196429,153.5758775,155.1385199,20725900
2020-01-13,155.5767975,155.605381,153.6520927,154.1285038,21626500
2020-01-14,154.4810638,155.8817136,154.0904033,155.6816145,23477400
2020-01-15,155.4815216,156.2056758,154.900314,154.9479435,21417900
2020-01-16,158.3304291,158.3971336,156.2913906,156.5963006,23865400
2020-01-17,159.2165833,159.5691228,157.6253575,159.5214788,34371700
2020-01-21,158.6449127,160.2551847,158.5782082,158.8164138,29517200
2020-01-22,157.8826599,159.5882201,157.8635994,159.502455,24138800
2020-01-23,158.8544769,158.9307044,157.472888,158.3494825,19680800
2020-01-24,157.2537842,159.6263169,156.6916225,159.6072564,24918100
2020-01-27,154.6239777,155.6720878,152.6421058,153.547284,32078100
2020-01-28,157.6539612,157.9397962,155.3767168,156.0532124,24899900
2020-01-29,160.1122589,160.7887692,157.8731351,159.9216974,34754500
2020-01-30,164.6286163,165.8387046,162.7324949,165.8387046,51597500
2020-01-31,162.1988983,164.2665205,161.5795698,164.0854965,36142700
2020-02-03,166.1531525,166.2674865,162.3609094,162.3894929,30107000
2020-02-04,171.6223297,172.1178013,167.9920795,168.7829236,36433300
2020-02-05,171.4127045,175.5098428,169.9930087,175.3478647,39186300
2020-02-06,174.9667511,175.1477896,171.5651688,172.4322405,27751400
2020-02-07,175.2144775,176.8723934,173.8709947,174.2235488,33529100
2020-02-10,179.7975616,179.9309562,174.6046831,174.9191162,35844300
2020-02-11,175.7385254,181.703187,174.8428702,181.655543,53159900
2020-02-12,175.9957886,177.0820053,173.2707166,176.8247392,47062900
2020-02-13,175.0429535,177.4440547,174.2425719,174.4426709,35295800
2020-02-14,176.6055908,176.6627578,174.0329594,174.6046585,23149500
2020-02-18,178.3968811,178.8447087,176.7485029,176.8533139,27792200
2020-02-19,178.9319305,179.7918069,178.1580389,179.6771606,29997500
2020-02-20,176.1993866,178.9032397,173.0273848,178.6166094,36862400
2020-02-21,170.629303,175.320442,169.3490373,175.0051501,48572600
2020-02-26,162.5846252,165.5368842,160.7120009,162.145138,56206100
2020-03-04,162.9476624,163.0909702,158.2374117,160.9794901,49814400
2020-03-05,158.85849,163.2534354,158.3043418,158.6482954,47817300
2020-03-11,146.7819061,150.6704772,144.4124423,150.1258927,56371600
2020-03-27,143.0270691,147.9857254,142.5493568,144.9856926,57042300
2020-04-01,145.3296509,150.7182456,144.0971594,146.1799783,57969900
2020-04-02,148.3392181,148.5494127,143.6576434,145.0907803,49630700
2020-04-03,146.9729614,150.3647215,145.4060657,148.1863547,41243300
2020-04-08,157.7693024,159.2406502,156.2119553,158.2852253,48318200
2020-04-09,157.7788544,159.9094476,156.0495378,158.9444738,51385100
2020-04-13,158.1323242,158.1896619,155.0654193,157.0240427,41905300
2020-04-14,165.9572449,166.005019,160.5113277,161.4667523,52874300
2020-04-15,164.2184448,165.8331153,161.6961235,163.5687483,40940800
2020-04-16,169.1483917,169.3776989,165.1929338,166.5305372,50479600
2020-04-17,170.6389008,171.9764898,168.0305802,171.4987774,52765600
2020-04-20,167.2566681,170.782188,167.1897959,168.7566921,36669600
2020-04-21,160.3394012,165.9286277,158.7056184,165.7662073,56203700
2020-04-22,165.7853088,166.2439086,163.2056649,163.7502494,34620200
2020-04-23,163.7788849,167.2566299,163.2916236,166.3489794,32790800
2020-04-24,166.7693787,166.7789277,163.1005514,164.390366,34277600
2020-04-27,166.291687,169.0146389,165.5751184,168.7184596,33194400
2020-04-28,162.2406769,167.8394666,161.8394002,167.7630309,34392700
2020-04-29,169.5209961,169.7598523,164.2184007,165.4986663,51286600
2020-04-30,171.2216644,172.3586076,168.3744884,171.9764435,53875900
2020-05-01,166.7885437,170.6771157,166.2534935,167.9637123,39370500
2020-05-04,170.8681183,171.0209897,166.0527851,166.7120304,30372900
2020-05-05,172.7025299,175.4637062,171.8808642,172.5687711,36839200
2020-05-06,174.4031982,175.9892066,173.5337729,173.9637111,32139300
